Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
192.168.1.30,2030,192.168.0.20,514,7,420,4,240,3,180,491.017065,5.496897,349.287971,261.9659783
192.168.1.30,2031,192.168.0.20,513,7,444,4,240,3,204,491.034865,5.200422,369.2008072,313.8206861
192.168.1.30,2032,192.168.0.20,512,7,420,4,240,3,180,491.05477,5.48556,350.009844,262.507383
192.168.1.30,2033,192.168.0.20,2049,2,120,1,60,1,60,491.080305,0.001333,0,0
192.168.1.30,2034,192.168.0.20,3000,2,120,1,60,1,60,491.099222,0.001267,0,0
192.168.1.30,2035,192.168.0.20,6000,2,120,1,60,1,60,491.114295,0.001207,0,0
192.168.1.30,2037,192.168.0.40,23,7,429,4,240,3,189,492.234753,0.050944,37688.44221,29679.64824
192.168.1.30,2038,192.168.0.40,22,2,120,1,60,1,60,492.263936,0.000579,0,0
192.168.1.30,2039,192.168.0.40,21,7,474,4,240,3,234,492.267717,0.089005,21571.82181,21032.52626
192.168.1.30,2040,192.168.0.40,79,7,420,4,240,3,180,492.287422,0.036571,52500.61524,39375.46143
192.168.1.30,2041,192.168.0.40,80,7,420,4,240,3,180,492.309263,0.032879,58395.93662,43796.95246
192.168.1.30,2042,192.168.0.40,111,7,420,4,240,3,180,492.387682,0.014329,133993.9982,100495.4986
192.168.1.30,2043,192.168.0.40,110,2,120,1,60,1,60,492.420726,0.000487,0,0
192.168.1.30,2044,192.168.0.40,109,2,120,1,60,1,60,492.42609,0.000483,0,0
192.168.1.30,2045,192.168.0.40,515,2,120,1,60,1,60,492.44897,0.00051,0,0
192.168.1.30,2046,192.168.0.40,514,7,420,4,240,3,180,492.455126,0.036346,52825.62043,39619.21532
192.168.1.30,2047,192.168.0.40,513,7,444,4,240,3,204,492.528216,0.03396,56537.10247,48056.5371
192.168.1.30,2048,192.168.0.40,512,7,420,4,240,3,180,492.557299,0.04923,39000.60938,29250.45704
192.168.1.30,2052,192.168.0.40,2049,7,420,4,240,3,180,492.60799,0.014563,131840.9668,98880.72513
192.168.1.30,1029,192.168.0.40,3000,2,120,1,60,1,60,492.652159,0.003416,0,0
192.168.1.30,1030,192.168.0.40,6000,7,420,4,240,3,180,492.670303,0.021597,88901.23628,66675.92721
192.168.1.30,1031,192.168.0.40,80,11,1868,6,589,5,1279,493.137147,1.721229,2737.578788,5944.589593
192.168.1.30,1032,192.168.0.40,80,40,34483,13,1005,27,33478,496.167339,3.841019,2093.19454,69727.33017
192.168.1.30,1033,192.168.0.40,80,21,13298,9,764,12,12534,497.064476,2.015756,3032.113014,49744.11586
192.168.1.30,1034,192.168.0.40,80,12,3692,7,650,5,3042,500.902296,1.79766,2892.649333,13537.59888
192.168.1.30,1035,192.168.0.40,80,15,2096,8,697,7,1399,501.664778,1.815618,3071.130601,6164.292269
192.168.1.30,1036,192.168.0.40,80,13,1982,7,643,6,1339,504.107829,1.712452,3003.879817,6255.357814
192.168.1.30,1037,192.168.0.40,80,11,1526,6,592,5,934,504.709933,1.793227,2641.048791,4166.789815
192.168.1.30,1038,192.168.0.40,80,11,1868,6,589,5,1279,507.265575,1.685234,2796.050875,6071.560389
192.168.1.30,1039,192.168.0.40,80,11,1526,6,592,5,934,510.342355,1.776617,2665.740562,4205.746089
192.168.1.30,1040,192.168.0.40,80,11,1868,6,589,5,1279,513.452491,1.824733,2582.295602,5607.395712
192.168.1.30,1041,192.168.0.40,80,11,1526,6,592,5,934,516.575104,1.686984,2807.376952,4429.206205
192.168.1.30,1042,192.168.0.20,23,427,31163,261,15744,166,15419,529.625458,37.944887,3319.340495,3250.820064
192.168.1.30,1048,192.168.0.20,25,27,4318,13,3132,14,1186,552.041959,0.988558,25346.00904,9597.818236
192.168.1.30,1050,192.168.0.20,79,10,720,5,300,5,420,582.03196,0.933034,2572.25353,3601.154942
